date,stars,forks,watchers,open_issues,open_pull_requests,pushed_at,latest_release,traffic_status,traffic_error,views_14d_total,views_14d_unique,clones_14d_total,clones_14d_unique
2026-04-22,4,1,0,0,0,2025-10-20T07:36:55Z,,unavailable,http_403,,,,
2026-04-23,4,1,0,0,0,2025-10-20T07:36:55Z,,unavailable,http_403,,,,
2026-04-24,4,1,0,0,0,2025-10-20T07:36:55Z,,unavailable,http_403,,,,
2026-04-25,4,1,0,0,0,2025-10-20T07:36:55Z,,unavailable,http_403,,,,
2026-04-26,4,1,0,0,0,2025-10-20T07:36:55Z,,unavailable,http_403,,,,
2026-04-27,4,1,0,0,0,2025-10-20T07:36:55Z,,unavailable,http_403,,,,
2026-04-28,4,1,0,0,0,2025-10-20T07:36:55Z,,unavailable,http_403,,,,
2026-04-29,4,1,0,0,0,2025-10-20T07:36:55Z,,unavailable,http_403,,,,
2026-04-30,4,1,0,0,0,2025-10-20T07:36:55Z,,unavailable,http_403,,,,
2026-05-01,4,1,0,0,0,2025-10-20T07:36:55Z,,unavailable,http_403,,,,
2026-05-02,4,1,0,0,0,2025-10-20T07:36:55Z,,unavailable,http_403,,,,
2026-05-03,4,1,0,0,0,2025-10-20T07:36:55Z,,unavailable,http_403,,,,
2026-05-04,4,2,0,0,0,2025-10-20T07:36:55Z,,unavailable,http_403,,,,
2026-05-05,4,2,0,0,0,2025-10-20T07:36:55Z,,unavailable,http_403,,,,
2026-05-06,4,2,0,0,0,2025-10-20T07:36:55Z,,ok,,47,15,8,8
2026-05-07,4,2,0,0,0,2025-10-20T07:36:55Z,,ok,,61,17,8,8
2026-05-08,4,2,0,0,0,2025-10-20T07:36:55Z,,ok,,76,21,8,8
2026-05-09,4,2,0,0,0,2025-10-20T07:36:55Z,,ok,,82,22,10,9
2026-05-10,4,2,0,0,0,2025-10-20T07:36:55Z,,ok,,78,20,10,9
2026-05-11,4,2,0,0,0,2025-10-20T07:36:55Z,,ok,,77,19,10,9
2026-05-12,4,2,0,0,0,2025-10-20T07:36:55Z,,ok,,77,19,10,9
2026-05-13,4,2,0,0,0,2025-10-20T07:36:55Z,,ok,,87,20,10,9
2026-05-14,4,2,0,0,0,2025-10-20T07:36:55Z,,ok,,86,19,14,13
